id,workspace_id,user_id,granted_by_user_id,name,permission_code,permission_type,active
perm-location-read,default-workspace,superadmin-001,superadmin-001,Location: Read,location:read,PERMISSION_TYPE_ALLOW,true
perm-location-update,default-workspace,superadmin-001,superadmin-001,Location: Update,location:update,PERMISSION_TYPE_ALLOW,true
perm-location-delete,default-workspace,superadmin-001,superadmin-001,Location: Delete,location:delete,PERMISSION_TYPE_ALLOW,true
perm-location-list,default-workspace,superadmin-001,superadmin-001,Location: List,location:list,PERMISSION_TYPE_ALLOW,true
perm-location_attribute-create,default-workspace,superadmin-001,superadmin-001,Location Attribute: Create,location_attribute:create,PERMISSION_TYPE_ALLOW,true
perm-location_attribute-read,default-workspace,superadmin-001,superadmin-001,Location Attribute: Read,location_attribute:read,PERMISSION_TYPE_ALLOW,true
perm-location_attribute-update,default-workspace,superadmin-001,superadmin-001,Location Attribute: Update,location_attribute:update,PERMISSION_TYPE_ALLOW,true
perm-location_attribute-delete,default-workspace,superadmin-001,superadmin-001,Location Attribute: Delete,location_attribute:delete,PERMISSION_TYPE_ALLOW,true
perm-location_attribute-list,default-workspace,superadmin-001,superadmin-001,Location Attribute: List,location_attribute:list,PERMISSION_TYPE_ALLOW,true
perm-manager-create,default-workspace,superadmin-001,superadmin-001,Manager: Create,manager:create,PERMISSION_TYPE_ALLOW,true
perm-manager-read,default-workspace,superadmin-001,superadmin-001,Manager: Read,manager:read,PERMISSION_TYPE_ALLOW,true
perm-manager-update,default-workspace,superadmin-001,superadmin-001,Manager: Update,manager:update,PERMISSION_TYPE_ALLOW,true
perm-manager-delete,default-workspace,superadmin-001,superadmin-001,Manager: Delete,manager:delete,PERMISSION_TYPE_ALLOW,true
perm-manager-list,default-workspace,superadmin-001,superadmin-001,Manager: List,manager:list,PERMISSION_TYPE_ALLOW,true
perm-permission-create,default-workspace,superadmin-001,superadmin-001,Permission: Create,permission:create,PERMISSION_TYPE_ALLOW,true
perm-permission-read,default-workspace,superadmin-001,superadmin-001,Permission: Read,permission:read,PERMISSION_TYPE_ALLOW,true
perm-permission-update,default-workspace,superadmin-001,superadmin-001,Permission: Update,permission:update,PERMISSION_TYPE_ALLOW,true
perm-permission-delete,default-workspace,superadmin-001,superadmin-001,Permission: Delete,permission:delete,PERMISSION_TYPE_ALLOW,true
perm-permission-list,default-workspace,superadmin-001,superadmin-001,Permission: List,permission:list,PERMISSION_TYPE_ALLOW,true
perm-role-create,default-workspace,superadmin-001,superadmin-001,Role: Create,role:create,PERMISSION_TYPE_ALLOW,true
perm-role-read,default-workspace,superadmin-001,superadmin-001,Role: Read,role:read,PERMISSION_TYPE_ALLOW,true
perm-role-update,default-workspace,superadmin-001,superadmin-001,Role: Update,role:update,PERMISSION_TYPE_ALLOW,true
perm-role-delete,default-workspace,superadmin-001,superadmin-001,Role: Delete,role:delete,PERMISSION_TYPE_ALLOW,true
perm-role-list,default-workspace,superadmin-001,superadmin-001,Role: List,role:list,PERMISSION_TYPE_ALLOW,true
perm-staff-create,default-workspace,superadmin-001,superadmin-001,Staff: Create,staff:create,PERMISSION_TYPE_ALLOW,true
perm-staff-read,default-workspace,superadmin-001,superadmin-001,Staff: Read,staff:read,PERMISSION_TYPE_ALLOW,true
perm-staff-update,default-workspace,superadmin-001,superadmin-001,Staff: Update,staff:update,PERMISSION_TYPE_ALLOW,true
perm-staff-delete,default-workspace,superadmin-001,superadmin-001,Staff: Delete,staff:delete,PERMISSION_TYPE_ALLOW,true
perm-staff-list,default-workspace,superadmin-001,superadmin-001,Staff: List,staff:list,PERMISSION_TYPE_ALLOW,true
perm-staff_attribute-create,default-workspace,superadmin-001,superadmin-001,Staff Attribute: Create,staff_attribute:create,PERMISSION_TYPE_ALLOW,true
perm-staff_attribute-read,default-workspace,superadmin-001,superadmin-001,Staff Attribute: Read,staff_attribute:read,PERMISSION_TYPE_ALLOW,true
perm-staff_attribute-update,default-workspace,superadmin-001,superadmin-001,Staff Attribute: Update,staff_attribute:update,PERMISSION_TYPE_ALLOW,true
perm-staff_attribute-delete,default-workspace,superadmin-001,superadmin-001,Staff Attribute: Delete,staff_attribute:delete,PERMISSION_TYPE_ALLOW,true
perm-staff_attribute-list,default-workspace,superadmin-001,superadmin-001,Staff Attribute: List,staff_attribute:list,PERMISSION_TYPE_ALLOW,true
perm-user-create,default-workspace,superadmin-001,superadmin-001,User: Create,user:create,PERMISSION_TYPE_ALLOW,true
perm-user-read,default-workspace,superadmin-001,superadmin-001,User: Read,user:read,PERMISSION_TYPE_ALLOW,true
perm-user-update,default-workspace,superadmin-001,superadmin-001,User: Update,user:update,PERMISSION_TYPE_ALLOW,true
perm-user-delete,default-workspace,superadmin-001,superadmin-001,User: Delete,user:delete,PERMISSION_TYPE_ALLOW,true
perm-user-list,default-workspace,superadmin-001,superadmin-001,User: List,user:list,PERMISSION_TYPE_ALLOW,true
perm-workspace-create,default-workspace,superadmin-001,superadmin-001,Workspace: Create,workspace:create,PERMISSION_TYPE_ALLOW,true
perm-workspace-read,default-workspace,superadmin-001,superadmin-001,Workspace: Read,workspace:read,PERMISSION_TYPE_ALLOW,true
perm-workspace-update,default-workspace,superadmin-001,superadmin-001,Workspace: Update,workspace:update,PERMISSION_TYPE_ALLOW,true
perm-workspace-delete,default-workspace,superadmin-001,superadmin-001,Workspace: Delete,workspace:delete,PERMISSION_TYPE_ALLOW,true
perm-workspace-list,default-workspace,superadmin-001,superadmin-001,Workspace: List,workspace:list,PERMISSION_TYPE_ALLOW,true
perm-workspace_user-create,default-workspace,superadmin-001,superadmin-001,Workspace User: Create,workspace_user:create,PERMISSION_TYPE_ALLOW,true
perm-workspace_user-read,default-workspace,superadmin-001,superadmin-001,Workspace User: Read,workspace_user:read,PERMISSION_TYPE_ALLOW,true
perm-workspace_user-update,default-workspace,superadmin-001,superadmin-001,Workspace User: Update,workspace_user:update,PERMISSION_TYPE_ALLOW,true
perm-workspace_user-delete,default-workspace,superadmin-001,superadmin-001,Workspace User: Delete,workspace_user:delete,PERMISSION_TYPE_ALLOW,true
perm-workspace_user-list,default-workspace,superadmin-001,superadmin-001,Workspace User: List,workspace_user:list,PERMISSION_TYPE_ALLOW,true
perm-workspace_user_role-create,default-workspace,superadmin-001,superadmin-001,Workspace User Role: Create,workspace_user_role:create,PERMISSION_TYPE_ALLOW,true
perm-workspace_user_role-read,default-workspace,superadmin-001,superadmin-001,Workspace User Role: Read,workspace_user_role:read,PERMISSION_TYPE_ALLOW,true
perm-workspace_user_role-update,default-workspace,superadmin-001,superadmin-001,Workspace User Role: Update,workspace_user_role:update,PERMISSION_TYPE_ALLOW,true
perm-workspace_user_role-delete,default-workspace,superadmin-001,superadmin-001,Workspace User Role: Delete,workspace_user_role:delete,PERMISSION_TYPE_ALLOW,true
perm-workspace_user_role-list,default-workspace,superadmin-001,superadmin-001,Workspace User Role: List,workspace_user_role:list,PERMISSION_TYPE_ALLOW,true
perm-event-create,default-workspace,superadmin-001,superadmin-001,Event: Create,event:create,PERMISSION_TYPE_ALLOW,true
perm-event-read,default-workspace,superadmin-001,superadmin-001,Event: Read,event:read,PERMISSION_TYPE_ALLOW,true
perm-event-update,default-workspace,superadmin-001,superadmin-001,Event: Update,event:update,PERMISSION_TYPE_ALLOW,true
perm-event-delete,default-workspace,superadmin-001,superadmin-001,Event: Delete,event:delete,PERMISSION_TYPE_ALLOW,true
perm-event-list,default-workspace,superadmin-001,superadmin-001,Event: List,event:list,PERMISSION_TYPE_ALLOW,true
perm-event_attendee-create,default-workspace,superadmin-001,superadmin-001,Event Attendee: Create,event_attendee:create,PERMISSION_TYPE_ALLOW,true
perm-event_attendee-read,default-workspace,superadmin-001,superadmin-001,Event Attendee: Read,event_attendee:read,PERMISSION_TYPE_ALLOW,true
perm-event_attendee-update,default-workspace,superadmin-001,superadmin-001,Event Attendee: Update,event_attendee:update,PERMISSION_TYPE_ALLOW,true
perm-event_attendee-delete,default-workspace,superadmin-001,superadmin-001,Event Attendee: Delete,event_attendee:delete,PERMISSION_TYPE_ALLOW,true
perm-event_attendee-list,default-workspace,superadmin-001,superadmin-001,Event Attendee: List,event_attendee:list,PERMISSION_TYPE_ALLOW,true
perm-event_attribute-create,default-workspace,superadmin-001,superadmin-001,Event Attribute: Create,event_attribute:create,PERMISSION_TYPE_ALLOW,true
perm-event_attribute-read,default-workspace,superadmin-001,superadmin-001,Event Attribute: Read,event_attribute:read,PERMISSION_TYPE_ALLOW,true
perm-event_attribute-update,default-workspace,superadmin-001,superadmin-001,Event Attribute: Update,event_attribute:update,PERMISSION_TYPE_ALLOW,true
perm-event_attribute-delete,default-workspace,superadmin-001,superadmin-001,Event Attribute: Delete,event_attribute:delete,PERMISSION_TYPE_ALLOW,true
perm-event_attribute-list,default-workspace,superadmin-001,superadmin-001,Event Attribute: List,event_attribute:list,PERMISSION_TYPE_ALLOW,true
perm-event_client-create,default-workspace,superadmin-001,superadmin-001,Event Client: Create,event_client:create,PERMISSION_TYPE_ALLOW,true
perm-event_client-read,default-workspace,superadmin-001,superadmin-001,Event Client: Read,event_client:read,PERMISSION_TYPE_ALLOW,true
perm-event_client-update,default-workspace,superadmin-001,superadmin-001,Event Client: Update,event_client:update,PERMISSION_TYPE_ALLOW,true
perm-event_client-delete,default-workspace,superadmin-001,superadmin-001,Event Client: Delete,event_client:delete,PERMISSION_TYPE_ALLOW,true
perm-event_client-list,default-workspace,superadmin-001,superadmin-001,Event Client: List,event_client:list,PERMISSION_TYPE_ALLOW,true
perm-event_product-create,default-workspace,superadmin-001,superadmin-001,Event Product: Create,event_product:create,PERMISSION_TYPE_ALLOW,true
perm-event_product-read,default-workspace,superadmin-001,superadmin-001,Event Product: Read,event_product:read,PERMISSION_TYPE_ALLOW,true
perm-event_product-update,default-workspace,superadmin-001,superadmin-001,Event Product: Update,event_product:update,PERMISSION_TYPE_ALLOW,true
perm-event_product-delete,default-workspace,superadmin-001,superadmin-001,Event Product: Delete,event_product:delete,PERMISSION_TYPE_ALLOW,true
perm-event_product-list,default-workspace,superadmin-001,superadmin-001,Event Product: List,event_product:list,PERMISSION_TYPE_ALLOW,true
perm-event_recurrence-create,default-workspace,superadmin-001,superadmin-001,Event Recurrence: Create,event_recurrence:create,PERMISSION_TYPE_ALLOW,true
perm-event_recurrence-read,default-workspace,superadmin-001,superadmin-001,Event Recurrence: Read,event_recurrence:read,PERMISSION_TYPE_ALLOW,true
perm-event_recurrence-update,default-workspace,superadmin-001,superadmin-001,Event Recurrence: Update,event_recurrence:update,PERMISSION_TYPE_ALLOW,true
perm-event_recurrence-delete,default-workspace,superadmin-001,superadmin-001,Event Recurrence: Delete,event_recurrence:delete,PERMISSION_TYPE_ALLOW,true
perm-event_recurrence-list,default-workspace,superadmin-001,superadmin-001,Event Recurrence: List,event_recurrence:list,PERMISSION_TYPE_ALLOW,true
perm-event_resource-create,default-workspace,superadmin-001,superadmin-001,Event Resource: Create,event_resource:create,PERMISSION_TYPE_ALLOW,true
perm-event_resource-read,default-workspace,superadmin-001,superadmin-001,Event Resource: Read,event_resource:read,PERMISSION_TYPE_ALLOW,true
perm-event_resource-update,default-workspace,superadmin-001,superadmin-001,Event Resource: Update,event_resource:update,PERMISSION_TYPE_ALLOW,true
perm-event_resource-delete,default-workspace,superadmin-001,superadmin-001,Event Resource: Delete,event_resource:delete,PERMISSION_TYPE_ALLOW,true
perm-event_resource-list,default-workspace,superadmin-001,superadmin-001,Event Resource: List,event_resource:list,PERMISSION_TYPE_ALLOW,true
perm-framework-create,default-workspace,superadmin-001,superadmin-001,Framework: Create,framework:create,PERMISSION_TYPE_ALLOW,true
perm-framework-read,default-workspace,superadmin-001,superadmin-001,Framework: Read,framework:read,PERMISSION_TYPE_ALLOW,true
perm-framework-update,default-workspace,superadmin-001,superadmin-001,Framework: Update,framework:update,PERMISSION_TYPE_ALLOW,true
perm-framework-delete,default-workspace,superadmin-001,superadmin-001,Framework: Delete,framework:delete,PERMISSION_TYPE_ALLOW,true
perm-framework-list,default-workspace,superadmin-001,superadmin-001,Framework: List,framework:list,PERMISSION_TYPE_ALLOW,true
perm-objective-create,default-workspace,superadmin-001,superadmin-001,Objective: Create,objective:create,PERMISSION_TYPE_ALLOW,true
perm-objective-read,default-workspace,superadmin-001,superadmin-001,Objective: Read,objective:read,PERMISSION_TYPE_ALLOW,true
perm-objective-update,default-workspace,superadmin-001,superadmin-001,Objective: Update,objective:update,PERMISSION_TYPE_ALLOW,true
perm-objective-delete,default-workspace,superadmin-001,superadmin-001,Objective: Delete,objective:delete,PERMISSION_TYPE_ALLOW,true
perm-objective-list,default-workspace,superadmin-001,superadmin-001,Objective: List,objective:list,PERMISSION_TYPE_ALLOW,true
perm-task-create,default-workspace,superadmin-001,superadmin-001,Task: Create,task:create,PERMISSION_TYPE_ALLOW,true
perm-task-read,default-workspace,superadmin-001,superadmin-001,Task: Read,task:read,PERMISSION_TYPE_ALLOW,true
perm-task-update,default-workspace,superadmin-001,superadmin-001,Task: Update,task:update,PERMISSION_TYPE_ALLOW,true
perm-task-delete,default-workspace,superadmin-001,superadmin-001,Task: Delete,task:delete,PERMISSION_TYPE_ALLOW,true
perm-task-list,default-workspace,superadmin-001,superadmin-001,Task: List,task:list,PERMISSION_TYPE_ALLOW,true
perm-payment-create,default-workspace,superadmin-001,superadmin-001,Payment: Create,payment:create,PERMISSION_TYPE_ALLOW,true
perm-payment-read,default-workspace,superadmin-001,superadmin-001,Payment: Read,payment:read,PERMISSION_TYPE_ALLOW,true
perm-payment-update,default-workspace,superadmin-001,superadmin-001,Payment: Update,payment:update,PERMISSION_TYPE_ALLOW,true
perm-payment-delete,default-workspace,superadmin-001,superadmin-001,Payment: Delete,payment:delete,PERMISSION_TYPE_ALLOW,true
perm-payment-list,default-workspace,superadmin-001,superadmin-001,Payment: List,payment:list,PERMISSION_TYPE_ALLOW,true
perm-payment_method-create,default-workspace,superadmin-001,superadmin-001,Payment Method: Create,payment_method:create,PERMISSION_TYPE_ALLOW,true
perm-payment_method-read,default-workspace,superadmin-001,superadmin-001,Payment Method: Read,payment_method:read,PERMISSION_TYPE_ALLOW,true
perm-payment_method-update,default-workspace,superadmin-001,superadmin-001,Payment Method: Update,payment_method:update,PERMISSION_TYPE_ALLOW,true
perm-payment_method-delete,default-workspace,superadmin-001,superadmin-001,Payment Method: Delete,payment_method:delete,PERMISSION_TYPE_ALLOW,true
perm-payment_method-list,default-workspace,superadmin-001,superadmin-001,Payment Method: List,payment_method:list,PERMISSION_TYPE_ALLOW,true
perm-payment_profile-create,default-workspace,superadmin-001,superadmin-001,Payment Profile: Create,payment_profile:create,PERMISSION_TYPE_ALLOW,true
perm-payment_profile-read,default-workspace,superadmin-001,superadmin-001,Payment Profile: Read,payment_profile:read,PERMISSION_TYPE_ALLOW,true
perm-payment_profile-update,default-workspace,superadmin-001,superadmin-001,Payment Profile: Update,payment_profile:update,PERMISSION_TYPE_ALLOW,true
perm-payment_profile-delete,default-workspace,superadmin-001,superadmin-001,Payment Profile: Delete,payment_profile:delete,PERMISSION_TYPE_ALLOW,true
perm-payment_profile-list,default-workspace,superadmin-001,superadmin-001,Payment Profile: List,payment_profile:list,PERMISSION_TYPE_ALLOW,true
perm-payment_attribute-create,default-workspace,superadmin-001,superadmin-001,Payment Attribute: Create,payment_attribute:create,PERMISSION_TYPE_ALLOW,true
perm-payment_attribute-read,default-workspace,superadmin-001,superadmin-001,Payment Attribute: Read,payment_attribute:read,PERMISSION_TYPE_ALLOW,true
perm-payment_attribute-update,default-workspace,superadmin-001,superadmin-001,Payment Attribute: Update,payment_attribute:update,PERMISSION_TYPE_ALLOW,true
perm-payment_attribute-delete,default-workspace,superadmin-001,superadmin-001,Payment Attribute: Delete,payment_attribute:delete,PERMISSION_TYPE_ALLOW,true
perm-payment_attribute-list,default-workspace,superadmin-001,superadmin-001,Payment Attribute: List,payment_attribute:list,PERMISSION_TYPE_ALLOW,true
perm-expenditure-create,default-workspace,superadmin-001,superadmin-001,Expenditure: Create,expenditure:create,PERMISSION_TYPE_ALLOW,true
perm-expenditure-read,default-workspace,superadmin-001,superadmin-001,Expenditure: Read,expenditure:read,PERMISSION_TYPE_ALLOW,true
perm-expenditure-update,default-workspace,superadmin-001,superadmin-001,Expenditure: Update,expenditure:update,PERMISSION_TYPE_ALLOW,true
perm-expenditure-delete,default-workspace,superadmin-001,superadmin-001,Expenditure: Delete,expenditure:delete,PERMISSION_TYPE_ALLOW,true
perm-expenditure-list,default-workspace,superadmin-001,superadmin-001,Expenditure: List,expenditure:list,PERMISSION_TYPE_ALLOW,true
perm-expenditure_attribute-create,default-workspace,superadmin-001,superadmin-001,Expenditure Attribute: Create,expenditure_attribute:create,PERMISSION_TYPE_ALLOW,true
perm-expenditure_attribute-read,default-workspace,superadmin-001,superadmin-001,Expenditure Attribute: Read,expenditure_attribute:read,PERMISSION_TYPE_ALLOW,true
perm-expenditure_attribute-update,default-workspace,superadmin-001,superadmin-001,Expenditure Attribute: Update,expenditure_attribute:update,PERMISSION_TYPE_ALLOW,true
perm-expenditure_attribute-delete,default-workspace,superadmin-001,superadmin-001,Expenditure Attribute: Delete,expenditure_attribute:delete,PERMISSION_TYPE_ALLOW,true
perm-expenditure_attribute-list,default-workspace,superadmin-001,superadmin-001,Expenditure Attribute: List,expenditure_attribute:list,PERMISSION_TYPE_ALLOW,true
perm-expenditure_line_item-create,default-workspace,superadmin-001,superadmin-001,Expenditure Line Item: Create,expenditure_line_item:create,PERMISSION_TYPE_ALLOW,true
perm-expenditure_line_item-read,default-workspace,superadmin-001,superadmin-001,Expenditure Line Item: Read,expenditure_line_item:read,PERMISSION_TYPE_ALLOW,true
perm-expenditure_line_item-update,default-workspace,superadmin-001,superadmin-001,Expenditure Line Item: Update,expenditure_line_item:update,PERMISSION_TYPE_ALLOW,true
perm-expenditure_line_item-delete,default-workspace,superadmin-001,superadmin-001,Expenditure Line Item: Delete,expenditure_line_item:delete,PERMISSION_TYPE_ALLOW,true
perm-expenditure_line_item-list,default-workspace,superadmin-001,superadmin-001,Expenditure Line Item: List,expenditure_line_item:list,PERMISSION_TYPE_ALLOW,true
perm-expenditure_category-create,default-workspace,superadmin-001,superadmin-001,Expenditure Category: Create,expenditure_category:create,PERMISSION_TYPE_ALLOW,true
perm-expenditure_category-read,default-workspace,superadmin-001,superadmin-001,Expenditure Category: Read,expenditure_category:read,PERMISSION_TYPE_ALLOW,true
perm-expenditure_category-update,default-workspace,superadmin-001,superadmin-001,Expenditure Category: Update,expenditure_category:update,PERMISSION_TYPE_ALLOW,true
perm-expenditure_category-delete,default-workspace,superadmin-001,superadmin-001,Expenditure Category: Delete,expenditure_category:delete,PERMISSION_TYPE_ALLOW,true
perm-expenditure_category-list,default-workspace,superadmin-001,superadmin-001,Expenditure Category: List,expenditure_category:list,PERMISSION_TYPE_ALLOW,true
perm-inventory_item-create,default-workspace,superadmin-001,superadmin-001,Inventory Item: Create,inventory_item:create,PERMISSION_TYPE_ALLOW,true
perm-inventory_item-read,default-workspace,superadmin-001,superadmin-001,Inventory Item: Read,inventory_item:read,PERMISSION_TYPE_ALLOW,true
perm-inventory_item-update,default-workspace,superadmin-001,superadmin-001,Inventory Item: Update,inventory_item:update,PERMISSION_TYPE_ALLOW,true
perm-inventory_item-delete,default-workspace,superadmin-001,superadmin-001,Inventory Item: Delete,inventory_item:delete,PERMISSION_TYPE_ALLOW,true
perm-inventory_item-list,default-workspace,superadmin-001,superadmin-001,Inventory Item: List,inventory_item:list,PERMISSION_TYPE_ALLOW,true
perm-inventory_serial-create,default-workspace,superadmin-001,superadmin-001,Inventory Serial: Create,inventory_serial:create,PERMISSION_TYPE_ALLOW,true
perm-inventory_serial-read,default-workspace,superadmin-001,superadmin-001,Inventory Serial: Read,inventory_serial:read,PERMISSION_TYPE_ALLOW,true
perm-inventory_serial-update,default-workspace,superadmin-001,superadmin-001,Inventory Serial: Update,inventory_serial:update,PERMISSION_TYPE_ALLOW,true
perm-inventory_serial-delete,default-workspace,superadmin-001,superadmin-001,Inventory Serial: Delete,inventory_serial:delete,PERMISSION_TYPE_ALLOW,true
perm-inventory_serial-list,default-workspace,superadmin-001,superadmin-001,Inventory Serial: List,inventory_serial:list,PERMISSION_TYPE_ALLOW,true
perm-inventory_transaction-create,default-workspace,superadmin-001,superadmin-001,Inventory Transaction: Create,inventory_transaction:create,PERMISSION_TYPE_ALLOW,true
perm-inventory_transaction-read,default-workspace,superadmin-001,superadmin-001,Inventory Transaction: Read,inventory_transaction:read,PERMISSION_TYPE_ALLOW,true
perm-inventory_transaction-update,default-workspace,superadmin-001,superadmin-001,Inventory Transaction: Update,inventory_transaction:update,PERMISSION_TYPE_ALLOW,true
perm-inventory_transaction-delete,default-workspace,superadmin-001,superadmin-001,Inventory Transaction: Delete,inventory_transaction:delete,PERMISSION_TYPE_ALLOW,true
perm-inventory_transaction-list,default-workspace,superadmin-001,superadmin-001,Inventory Transaction: List,inventory_transaction:list,PERMISSION_TYPE_ALLOW,true
perm-inventory_attribute-create,default-workspace,superadmin-001,superadmin-001,Inventory Attribute: Create,inventory_attribute:create,PERMISSION_TYPE_ALLOW,true
perm-inventory_attribute-read,default-workspace,superadmin-001,superadmin-001,Inventory Attribute: Read,inventory_attribute:read,PERMISSION_TYPE_ALLOW,true
perm-inventory_attribute-update,default-workspace,superadmin-001,superadmin-001,Inventory Attribute: Update,inventory_attribute:update,PERMISSION_TYPE_ALLOW,true
perm-inventory_attribute-delete,default-workspace,superadmin-001,superadmin-001,Inventory Attribute: Delete,inventory_attribute:delete,PERMISSION_TYPE_ALLOW,true
perm-inventory_attribute-list,default-workspace,superadmin-001,superadmin-001,Inventory Attribute: List,inventory_attribute:list,PERMISSION_TYPE_ALLOW,true
perm-inventory_depreciation-create,default-workspace,superadmin-001,superadmin-001,Inventory Depreciation: Create,inventory_depreciation:create,PERMISSION_TYPE_ALLOW,true
perm-inventory_depreciation-read,default-workspace,superadmin-001,superadmin-001,Inventory Depreciation: Read,inventory_depreciation:read,PERMISSION_TYPE_ALLOW,true
perm-inventory_depreciation-update,default-workspace,superadmin-001,superadmin-001,Inventory Depreciation: Update,inventory_depreciation:update,PERMISSION_TYPE_ALLOW,true
perm-inventory_depreciation-delete,default-workspace,superadmin-001,superadmin-001,Inventory Depreciation: Delete,inventory_depreciation:delete,PERMISSION_TYPE_ALLOW,true
